channel,lower_bound,upper_bound
P1,0.9910458562488609,1.1039991779173977
P2,1.1039991779173977,1.2521496890655568
P3,1.2521496890655568,1.8269167179409243
P4,1.8269167179409243,2.86438407149338
P5,2.86438407149338,6.097562352214592
P6,6.097562352214592,11.039991779173977
P7,11.039991779173977,18.26916717940924
P8,18.26916717940924,31.908489806291083
P9,31.908489806291083,inf
